2
Phi=90.0000000000002(deg)

Frequency	Theta	E Total. dB	E(Phi) . Amp dB	E(Theta) . Amp dB	E(Phi) . Phase	E(Theta) . Phase
2460000000	1.5707963268	-0.966476133413837	-15.2251851571079	-1.13250687161563	2.74013363422143	-0.587465444853023
2460000000	1.6231562044	-2.1151938267923	-16.0886494455726	-2.29272935922309	2.61593166448656	-0.580491007739828
2460000000	1.6755160819	-3.54753817830794	-16.8688955583917	-3.75453189011968	2.49784050227797	-0.595010736323801
2460000000	1.7278759595	-5.21745329963478	-17.6225730355207	-5.47453003149063	2.39713183026462	-0.647107133280191
2460000000	1.780235837	-7.00421253422768	-18.3245404132781	-7.33709374064714	2.29709628381485	-0.750997118158188
2460000000	1.8325957146	-8.71738717635663	-18.8554733528698	-9.15988672189339	2.17817597279006	-0.911792584076596
2460000000	1.8849555922	-10.2117798443462	-19.2601139002822	-10.7892144195529	2.04692942490081	-1.12387578210692
2460000000	1.9373154697	-11.4602834057876	-19.9528461611116	-12.1228594533647	1.93133639164524	-1.38286380716124
2460000000	1.9896753473	-12.4304195094832	-21.5971544843653	-12.9912761902336	1.8513742246398	-1.68645040180032
2460000000	2.0420352248	-12.9230816866011	-24.9590802927283	-13.2037158922121	1.82174186480319	-2.00814175027558
2460000000	2.0943951024	-12.8197961890708	-31.2174223870446	-12.8830637701398	1.91444186395414	-2.30662514501178
2460000000	2.14675498	-12.3398713399694	-41.0574535776726	-12.34571006457	2.82837852076055	-2.5768016028638
2460000000	2.1991148575	-11.6115627145429	-36.4684195813434	-11.625779757736	-2.29178129298004	-2.83603721229362
2460000000	2.2514747351	-10.4826524510125	-32.2556442649412	-10.5116214022233	-2.0520471054096	-3.07116460777877
2460000000	2.3038346126	-9.01839476972414	-28.1292508275217	-9.07202099866305	-1.84286226392766	3.04373375938616
2460000000	2.3561944902	-7.60816043108994	-23.7668380486627	-7.71463090755533	-1.69414086112223	2.95680613470678
2460000000	2.4085543678	-6.6117140232485	-20.3073899246271	-6.80123545687454	-1.65261947074412	2.92454229779551
2460000000	2.4609142453	-6.22411606752026	-18.0542659808399	-6.51884476082742	-1.72099053900773	2.90164836691745
2460000000	2.5132741229	-6.40358759188068	-16.3564657571432	-6.86642995754179	-1.90899133090761	2.83315791255671
2460000000	2.5656340004	-6.61510776168504	-14.0447721427361	-7.48084454911835	-2.15572502637319	2.66175426984395
2460000000	2.617993878	-5.85114004115165	-10.9357094307758	-7.46346421858914	-2.32157090397315	2.3869232042112
